alias,display_phone,distance,id,image_url,is_closed,name,phone,price,rating,review_count,transactions,url,latitude,longitude,address1,address2,address3,city,country,display_address,state,zip_code,Restaurant Category
bird-haus-houston,,1353.2246970904841,y8zMac68WqA37d4IVYCtdw,https://s3-media4.fl.yelpcdn.com/bphoto/XcbSFuKXK-zkvEaeS3y8Og/o.jpg,False,Bird Haus,,$$,4.5,74,[],https://www.yelp.com/biz/bird-haus-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.76036,-95.3615819,1010 Prairie St,,,Houston,US,"['1010 Prairie St', 'Houston, TX 77002']",TX,77002,Sandwiches
guss-world-famous-fried-chicken-houston-2,(832) 740-4022,679.7189341855169,eO55csoh_thLYu8boiP6iQ,https://s3-media1.fl.yelpcdn.com/bphoto/MNgTNT44qsCfLbsnWNjq6g/o.jpg,False,Gus's World Famous Fried Chicken,+18327404022,$,4.0,567,[],https://www.yelp.com/biz/guss-world-famous-fried-chicken-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.76753,-95.37655,1815 Washington Ave,,,Houston,US,"['1815 Washington Ave', 'Houston, TX 77007']",TX,77007,Southern
stantons-city-bites-houston,(713) 227-4893,216.5641404927201,-BImKAE7BXubGtBhIO9C9A,https://s3-media2.fl.yelpcdn.com/bphoto/54W-Qpa2mGPVoVX17GM5QA/o.jpg,False,Stanton's City Bites,+17132274893,$$,4.5,1087,[],https://www.yelp.com/biz/stantons-city-bites-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.770945,-95.372068,1420 Edwards St,,,Houston,US,"['1420 Edwards St', 'Houston, TX 77007']",TX,77007,Burgers
ritual-houston,(832) 203-5180,2130.045111542669,Uxr2owVxThOp_lsSOqxbPw,https://s3-media2.fl.yelpcdn.com/bphoto/GuaDt25JesWj3Qmo1aSdfg/o.jpg,False,Ritual,+18322035180,$$,4.0,1346,[],https://www.yelp.com/biz/ritual-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.78193,-95.38735,602 Studewood St,,,Houston,US,"['602 Studewood St', 'Houston, TX 77007']",TX,77007,Southern
hearsay-market-square-houston-2,(713) 225-8079,1131.0370090625493,5MG_McXD1URWSryfn9sCdw,https://s3-media1.fl.yelpcdn.com/bphoto/pI-8mjnichCw5taJ3ORFDw/o.jpg,False,Hearsay Market Square,+17132258079,$$,4.0,1661,['pickup'],https://www.yelp.com/biz/hearsay-market-square-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.763046,-95.3615717,218 Travis St,,,Houston,US,"['218 Travis St', 'Houston, TX 77002']",TX,77002,American (New)
the-blind-goat-houston,(346) 298-1660,1212.840310776039,LyHL_OleyFYfn6zKvmLNHA,https://s3-media1.fl.yelpcdn.com/bphoto/2-80_v8NCresInsHEqk-Og/o.jpg,False,The Blind Goat,+13462981660,$$,4.0,141,[],https://www.yelp.com/biz/the-blind-goat-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.76156,-95.36228,409 Travis St,Ste 367,,Houston,US,"['409 Travis St', 'Ste 367', 'Houston, TX 77002']",TX,77002,Vietnamese
b-b-lemon-houston,(713) 554-1809,648.3327453202551,TQjTvUSqUXD1b_kHfDNTLw,https://s3-media3.fl.yelpcdn.com/bphoto/IIFWXnyxBmQ_InoRo_CwZw/o.jpg,False,B.B. Lemon,+17135541809,$$,3.5,201,[],https://www.yelp.com/biz/b-b-lemon-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7674542512049,-95.3761047497392,1809 Washington Ave,,,Houston,US,"['1809 Washington Ave', 'Houston, TX 77007']",TX,77007,American (New)
oporto-fooding-house-and-wine-houston,(713) 528-0115,2118.313021332108,I1VlZBW80UL3E3NvahlqXg,https://s3-media3.fl.yelpcdn.com/bphoto/FlZnL3OYdlSN3yhhjBnLnw/o.jpg,False,Oporto Fooding House & Wine,+17135280115,$$,4.5,936,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/oporto-fooding-house-and-wine-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7531384239378,-95.3802139853275,125 W Gray Ave,Ste 500,,Houston,US,"['125 W Gray Ave', 'Ste 500', 'Houston, TX 77019']",TX,77019,Tapas/Small Plates
conservatory-houston-8,(832) 919-8382,1354.4364058567432,dJRgNkX8dhyz0lsjuJqoTw,https://s3-media3.fl.yelpcdn.com/bphoto/VGmzgfT2fVNmp3TVSCTvmg/o.jpg,False,Conservatory,+18329198382,$$,4.5,488,"['delivery', 'pickup']",https://www.yelp.com/biz/conservatory-houston-8?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.76038,-95.36162,1010 Prairie St,,,Houston,US,"['1010 Prairie St', 'Houston, TX 77002']",TX,77002,Food Court
the-rustic-houston-2,(832) 321-7799,2451.198932823549,suffPaUlK64hJFkhO0Nn_Q,https://s3-media1.fl.yelpcdn.com/bphoto/vO4b-nDIagt_7S9g1wiQJQ/o.jpg,False,The Rustic,+18323217799,$$,4.0,470,[],https://www.yelp.com/biz/the-rustic-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7502708,-95.3595825,1836 Polk St,,,Houston,US,"['1836 Polk St', 'Houston, TX 77003']",TX,77003,Bars
